sec_code,ticker,year,high,low,days,updated_at
6882,6882.T,2019,821.76,524.14,241,2026-08-24
6882,6882.T,2020,797.01,343.38,242,2026-08-24
6882,6882.T,2021,1023.82,638.93,245,2026-08-24
6882,6882.T,2022,966.42,580.33,244,2026-08-24
6882,6882.T,2023,1395.51,735.49,246,2026-08-24
6882,6882.T,2024,1742.5,771.22,245,2026-08-24
6882,6882.T,2025,907.98,674.61,243,2026-08-24
6882,6882.T,2026,1554.0,900.22,156,2026-08-24
6899,6899.T,2016,1706.78,840.76,87,2026-08-24
6899,6899.T,2017,4051.53,1461.41,253,2026-08-24
6899,6899.T,2018,3788.73,1166.3,261,2026-08-24
6899,6899.T,2019,1632.56,1202.41,241,2026-08-24
6899,6899.T,2020,1602.44,796.2,242,2026-08-24
6899,6899.T,2021,2808.73,1131.97,245,2026-08-24
6899,6899.T,2022,2419.69,1269.96,244,2026-08-24
6899,6899.T,2023,3471.24,2134.77,246,2026-08-24
6899,6899.T,2024,3255.94,1654.43,245,2026-08-24
6899,6899.T,2025,2391.0,1536.59,243,2026-08-24
6899,6899.T,2026,2708.38,2100.0,156,2026-08-24
6943,6943.T,2016,3887.45,3650.61,87,2026-08-24
6943,6943.T,2017,5355.88,3797.62,253,2026-08-24
6943,6943.T,2018,5696.68,4628.84,261,2026-08-24
6943,6943.T,2019,4628.84,3204.32,241,2026-08-24
6943,6943.T,2020,4174.76,2472.45,242,2026-08-24
6943,6943.T,2021,6027.76,3210.39,245,2026-08-24
6943,6943.T,2022,5604.91,3522.18,244,2026-08-24
6943,6943.T,2023,6471.73,4496.35,246,2026-08-24
6943,6943.T,2024,6089.2,3924.16,245,2026-08-24
6943,6943.T,2025,4676.81,3925.79,243,2026-08-24
6943,6943.T,2026,5600.0,4456.27,156,2026-08-24
6964,6964.T,2016,358.65,221.29,87,2026-08-24
6964,6964.T,2017,525.88,323.55,253,2026-08-24
6964,6964.T,2018,563.0,299.54,261,2026-08-24
6964,6964.T,2019,490.6,317.62,241,2026-08-24
6964,6964.T,2020,468.74,255.01,242,2026-08-24
6964,6964.T,2021,485.74,368.84,245,2026-08-24
6964,6964.T,2022,430.19,379.13,244,2026-08-24
6964,6964.T,2023,519.88,385.23,246,2026-08-24
6964,6964.T,2024,597.88,450.52,245,2026-08-24
6964,6964.T,2025,609.8,491.82,243,2026-08-24
6964,6964.T,2026,737.0,596.2,156,2026-08-24
6986,6986.T,2016,1492.42,1122.66,87,2026-08-24
6986,6986.T,2017,2052.09,1394.75,253,2026-08-24
6986,6986.T,2018,1914.66,1168.33,261,2026-08-24
6986,6986.T,2019,1530.82,1021.66,241,2026-08-24
6986,6986.T,2020,1170.79,702.98,242,2026-08-24
6986,6986.T,2021,918.92,604.96,245,2026-08-24
6986,6986.T,2022,650.54,476.48,244,2026-08-24
6986,6986.T,2023,556.13,446.41,246,2026-08-24
6986,6986.T,2024,637.49,407.15,245,2026-08-24
6986,6986.T,2025,750.16,414.49,243,2026-08-24
6986,6986.T,2026,828.0,527.0,156,2026-08-24
7034,7034.T,2018,3865.0,1547.5,112,2026-08-24
7034,7034.T,2019,4915.0,1727.5,241,2026-08-24
7034,7034.T,2020,6280.0,2390.0,242,2026-08-24
