date,sec_code,name,market,sector,is_supervised,close,last_quote,volume_k,traded,turnover
2026-08-20,377A,エージェントＩＧＨＤ,メイン市場,保険業,False,1066.0,,3.2,True,3411200.0000000005
2026-08-20,3808,オーケーウェブ,ネクスト市場,情報・通信業,False,29.0,,23.8,True,690200.0
2026-08-20,3842,ネクストジェン,メイン市場,情報・通信業,False,,1035.0,0.0,False,0.0
2026-08-20,391A,山忠 ｶ,メイン市場,不動産業,False,,2455.0,0.0,False,0.0
2026-08-20,3922,ＰＲＴＩＭＥＳ,プレミア市場,情報・通信業,False,,2151.0,0.0,False,0.0
2026-08-20,3947,ダイナパック,メイン市場,パルプ・紙,False,,2423.0,0.0,False,0.0
2026-08-20,3958,笹徳印刷,メイン市場,パルプ・紙,False,,548.0,0.0,False,0.0
2026-08-20,3974,ＳＣＡＴ,メイン市場,情報・通信業,False,,668.0,0.0,False,0.0
2026-08-20,4062,イビデン,プレミア市場,電気機器,False,,19150.0,0.0,False,0.0
2026-08-20,4063,信越化,プレミア市場,化 学,False,6114.0,6161.0,0.1,True,611400.0
2026-08-20,4072,電算システムＨＤ,プレミア市場,情報・通信業,False,,3075.0,0.0,False,0.0
2026-08-20,4124,大阪油化工業,メイン市場,化 学,False,,2885.0,0.0,False,0.0
2026-08-20,4125,三和油化工業,メイン市場,化 学,False,,3800.0,0.0,False,0.0
2026-08-20,418A,ウリドキ,ネクスト市場,情報・通信業,False,1284.0,,2.6,True,3338400.0
2026-08-20,4196,ネオマーケ,メイン市場,情報・通信業,False,,1995.0,0.0,False,0.0
2026-08-20,4206,アイカ工,プレミア市場,化 学,False,,4056.0,0.0,False,0.0
2026-08-20,4240,クラスターＴ,メイン市場,化 学,False,,336.0,0.0,False,0.0
2026-08-20,4247,ポバール興業,メイン市場,化 学,False,,1378.0,0.0,False,0.0
2026-08-20,4361,川口化,メイン市場,化 学,False,,1533.0,0.0,False,0.0
2026-08-20,4430,東海ソフト,プレミア市場,情報・通信業,False,,1676.0,0.0,False,0.0
2026-08-20,4439,東名,プレミア市場,情報・通信業,False,,772.0,0.0,False,0.0
2026-08-20,4445,リビンＴ,メイン市場,情報・通信業,False,,1842.0,0.0,False,0.0
2026-08-20,4463,日華化学,プレミア市場,化 学,False,,2015.0,0.0,False,0.0
2026-08-20,4502,武田薬,プレミア市場,医薬品,False,,5825.0,0.0,False,0.0
2026-08-20,4616,川上塗料,メイン市場,化 学,False,,2036.0,0.0,False,0.0
2026-08-20,4658,日本空調,プレミア市場,サービス業,False,,1549.0,0.0,False,0.0
2026-08-20,4667,アイサンテクノロ,メイン市場,情報・通信業,False,,2112.0,0.0,False,0.0
2026-08-20,4681,リゾートトラ,プレミア市場,サービス業,False,,1846.5,0.0,False,0.0
2026-08-20,4691,ワシントンホテル,メイン市場,サービス業,False,,2065.0,0.0,False,0.0
2026-08-20,4707,キタック,メイン市場,サービス業,False,,333.0,0.0,False,0.0
2026-08-20,4732,ＵＳＳ,プレミア市場,サービス業,False,,1975.0,0.0,False,0.0
2026-08-20,4760,アルファ,メイン市場,サービス業,False,,1701.0,0.0,False,0.0
2026-08-20,4920,日本色材,メイン市場,化 学,False,,1140.0,0.0,False,0.0
2026-08-20,5020,ＥＮＥＯＳ,プレミア市場,石油・石炭製品,False,,1303.0,0.0,False,0.0
2026-08-20,5075,アップコン,ネクスト市場,建設業,False,1037.0,,1.5,True,1555500.0
2026-08-20,5204,石塚硝,プレミア市場,ガラス・土石製品,False,,3000.0,0.0,False,0.0
2026-08-20,523A,セイワＨＤ,ネクスト市場,金属製品,False,,1757.0,0.0,False,0.0
2026-08-20,5241,日本オーエー研究所,メイン市場,情報・通信業,False,773.0,,0.1,True,77300.00000000001
2026-08-20,5271,トーヨーアサノ,メイン市場,ガラス・土石製品,False,,2302.0,0.0,False,0.0
2026-08-20,5287,イトーヨーギョー,メイン市場,ガラス・土石製品,False,,851.0,0.0,False,0.0
2026-08-20,5331,ノリタケ,プレミア市場,ガラス・土石製品,False,,3635.0,0.0,False,0.0
2026-08-20,5332,ＴＯＴＯ,プレミア市場,ガラス・土石製品,False,,6363.0,0.0,False,0.0
2026-08-20,5333,ＮＧＫ,プレミア市場,ガラス・土石製品,False,,5567.0,0.0,False,0.0
2026-08-20,5334,日特殊陶,プレミア市場,ガラス・土石製品,False,,8933.0,0.0,False,0.0
2026-08-20,5342,ジャニス工,メイン市場,ガラス・土石製品,False,,389.0,0.0,False,0.0
2026-08-20,5343,ニッコー,メイン市場,ガラス・土石製品,False,185.0,,5.5,True,1017500.0
2026-08-20,5344,ＭＡＲＵＷＡ,プレミア市場,ガラス・土石製品,False,,55200.0,0.0,False,0.0
2026-08-20,5356,美濃窯業,メイン市場,ガラス・土石製品,False,,1300.0,0.0,False,0.0
2026-08-20,5384,ＦＵＪＩＭＩ,プレミア市場,ガラス・土石製品,False,,3710.0,0.0,False,0.0
2026-08-20,5386,鶴弥,メイン市場,ガラス・土石製品,False,381.0,,0.1,True,38100.0
2026-08-20,5401,日本製鉄,プレミア市場,鉄 鋼,False,,663.0,0.0,False,0.0
2026-08-20,5406,神戸鋼,プレミア市場,鉄 鋼,False,,2009.5,0.0,False,0.0
2026-08-20,5461,中部鋼鈑,プレミア市場,鉄 鋼,False,,2071.0,0.0,False,0.0
2026-08-20,546A,ＭＩＲＡＩＮＩ,プレミア市場,卸売業,False,,2328.0,0.0,False,0.0
2026-08-20,5471,大同特鋼,プレミア市場,鉄 鋼,False,,2319.0,0.0,False,0.0
2026-08-20,5482,愛知鋼,プレミア市場,鉄 鋼,False,,3230.0,0.0,False,0.0
2026-08-20,550A,ソフトテックス,メイン市場,情報・通信業,False,,2210.0,0.0,False,0.0
2026-08-20,5530,日本システムバンク,メイン市場,不動産業,False,1090.0,,1.1,True,1199000.0
2026-08-20,5589,オートサーバー,メイン市場,情報・通信業,False,,2831.0,0.0,False,0.0
2026-08-20,5607,中央可鍛,メイン市場,鉄 鋼,False,601.0,,7.1,True,4267099.999999999
2026-08-20,5802,住友電工,プレミア市場,非鉄金属,False,,2218.5,0.0,False,0.0
2026-08-20,5918,滝上工,メイン市場,金属製品,False,,7700.0,0.0,False,0.0
2026-08-20,5938,ＬＩＸＩＬ,プレミア市場,金属製品,False,,1747.0,0.0,False,0.0
2026-08-20,5947,リンナイ,プレミア市場,金属製品,False,,3566.0,0.0,False,0.0
2026-08-20,5952,アマテイ,メイン市場,金属製品,False,,185.0,0.0,False,0.0
2026-08-20,5979,カネソウ,メイン市場,金属製品,False,5090.0,,0.1,True,509000.0
2026-08-20,5984,兼房,メイン市場,金属製品,False,,773.0,0.0,False,0.0
2026-08-20,5992,中央発条,プレミア市場,金属製品,False,,3670.0,0.0,False,0.0
2026-08-20,5994,ファインシンター,メイン市場,金属製品,False,,1010.0,0.0,False,0.0
2026-08-20,6025,日本ＰＣサービス,ネクスト市場,サービス業,False,,743.0,0.0,False,0.0
2026-08-20,6036,ＫｅｅＰｅｒ技研,プレミア市場,サービス業,False,,3230.0,0.0,False,0.0
2026-08-20,6055,Ｊマテリアル,プレミア市場,サービス業,False,,2083.0,0.0,False,0.0
2026-08-20,6074,ＪＳＳ,メイン市場,サービス業,False,,519.0,0.0,False,0.0
2026-08-20,6103,オークマ,プレミア市場,機 械,False,,4980.0,0.0,False,0.0
2026-08-20,6111,旭精機,メイン市場,機 械,False,2017.0,,0.2,True,403400.00000000006
2026-08-20,6134,ＦＵＪＩ,プレミア市場,機 械,False,,7325.0,0.0,False,0.0
2026-08-20,6136,ＯＳＧ,プレミア市場,機 械,False,,3674.0,0.0,False,0.0
2026-08-20,6142,富士精工,メイン市場,機 械,False,1735.0,,1.0,True,1735000.0
2026-08-20,6203,豊和工,プレミア市場,機 械,False,,1478.0,0.0,False,0.0
2026-08-20,6225,エコム,メイン市場,機 械,False,,2030.0,0.0,False,0.0
2026-08-20,6267,ゼネパッカー,メイン市場,機 械,False,,3990.0,0.0,False,0.0
2026-08-20,6325,タカキタ,プレミア市場,機 械,False,,412.0,0.0,False,0.0
2026-08-20,6339,新東工,プレミア市場,機 械,False,,1229.0,0.0,False,0.0
2026-08-20,6340,渋谷工,プレミア市場,機 械,False,,5240.0,0.0,False,0.0
2026-08-20,6342,太平製,メイン市場,機 械,False,,3000.0,0.0,False,0.0
2026-08-20,6345,アイチ,プレミア市場,機 械,False,,1410.0,0.0,False,0.0
2026-08-20,6346,キクカワ,メイン市場,機 械,False,,5840.0,0.0,False,0.0
2026-08-20,6396,宇野沢鉄,メイン市場,機 械,False,,4500.0,0.0,False,0.0
2026-08-20,6407,ＣＫＤ,プレミア市場,機 械,False,,5670.0,0.0,False,0.0
2026-08-20,6430,ダイコク電,プレミア市場,機 械,False,,2461.0,0.0,False,0.0
2026-08-20,6439,中日鋳工,メイン市場,機 械,False,395.0,,0.2,True,79000.0
2026-08-20,6448,ブラザー,プレミア市場,電気機器,False,,4560.0,0.0,False,0.0
2026-08-20,6465,ホシザキ,プレミア市場,機 械,False,,5656.0,0.0,False,0.0
2026-08-20,6470,大豊工業,プレミア市場,機 械,False,,1188.0,0.0,False,0.0
2026-08-20,6473,ジェイテクト,プレミア市場,機 械,False,,2089.0,0.0,False,0.0
2026-08-20,6501,日立,プレミア市場,電気機器,False,,5263.0,0.0,False,0.0
2026-08-20,6504,富士電機,プレミア市場,電気機器,False,,13635.0,0.0,False,0.0
2026-08-20,6508,明電舎,プレミア市場,電気機器,False,,11230.0,0.0,False,0.0
2026-08-20,6547,グリーンズ,プレミア市場,サービス業,False,,2030.0,0.0,False,0.0
2026-08-20,6564,ミダックＨＤ,プレミア市場,サービス業,False,,2079.0,0.0,False,0.0
2026-08-20,6565,ＡＢホテル,メイン市場,サービス業,False,1310.0,,5.0,True,6550000.0
2026-08-20,6586,マキタ,プレミア市場,機 械,False,,5261.0,0.0,False,0.0
2026-08-20,6615,ＵＭＣエレ,メイン市場,電気機器,False,,244.0,0.0,False,0.0
2026-08-20,6623,愛知電,プレミア市場,電気機器,False,8910.0,,10.0,True,89100000.0
2026-08-20,6651,日東工,プレミア市場,電気機器,False,,4405.0,0.0,False,0.0
2026-08-20,6655,洋電機,メイン市場,電気機器,False,789.0,,0.4,True,315600.0
2026-08-20,6676,ＢＵＦＦＡＬＯ,プレミア市場,電気機器,False,,2827.0,0.0,False,0.0
2026-08-20,6702,富士通,プレミア市場,電気機器,False,,3743.0,0.0,False,0.0
2026-08-20,6718,アイホン,プレミア市場,電気機器,False,,2854.0,0.0,False,0.0
2026-08-20,6797,名古屋電,メイン市場,電気機器,False,,1180.0,0.0,False,0.0
2026-08-20,6846,中央製,メイン市場,電気機器,False,,1382.0,0.0,False,0.0
2026-08-20,6902,デンソー,プレミア市場,輸送用機器,False,,1946.0,0.0,False,0.0
2026-08-20,6995,東海理電,プレミア市場,輸送用機器,False,,3120.0,0.0,False,0.0
2026-08-20,6999,ＫＯＡ,プレミア市場,電気機器,False,,2218.0,0.0,False,0.0
2026-08-20,7011,三菱重,プレミア市場,機 械,False,,4054.0,0.0,False,0.0
2026-08-20,7012,川崎重,プレミア市場,輸送用機器,False,,2672.5,0.0,False,0.0
2026-08-20,7059,コプロＨＤ,プレミア市場,サービス業,False,,915.0,0.0,False,0.0
2026-08-20,7073,ジェイック,メイン市場,サービス業,False,,2285.0,0.0,False,0.0
2026-08-20,7075,ＱＬＳＨＤ,ネクスト市場,サービス業,False,,854.0,0.0,False,0.0
2026-08-20,7076,名南Ｍ＆Ａ,メイン市場,サービス業,False,1037.0,,3.4,True,3525799.9999999995
2026-08-20,7102,日車輌,プレミア市場,輸送用機器,False,,3600.0,0.0,False,0.0
2026-08-20,7118,伸和ホールディングス,ネクスト市場,小売業,False,4100.0,,0.3,True,1230000.0
2026-08-20,7129,ミアヘルサＨＤ,メイン市場,小売業,False,,1153.0,0.0,False,0.0
2026-08-20,7135,ジャパンクラフトＨＤ,プレミア市場,小売業,False,,182.0,0.0,False,0.0
2026-08-20,7203,トヨタ自,プレミア市場,輸送用機器,False,,3066.0,0.0,False,0.0
2026-08-20,7213,レシップＨＤ,プレミア市場,輸送用機器,False,,665.0,0.0,False,0.0
2026-08-20,7220,武蔵精密,プレミア市場,輸送用機器,False,,3415.0,0.0,False,0.0
2026-08-20,7227,アスカ,メイン市場,輸送用機器,False,1850.0,,1.5,True,2775000.0
2026-08-20,7231,トピー工,プレミア市場,輸送用機器,False,,3065.0,0.0,False,0.0
2026-08-20,7241,フタバ産,プレミア市場,輸送用機器,False,,1107.0,0.0,False,0.0
2026-08-20,7245,大同メタル,プレミア市場,輸送用機器,False,,1290.0,0.0,False,0.0
2026-08-20,7259,アイシン,プレミア市場,輸送用機器,False,,2267.0,0.0,False,0.0
2026-08-20,7266,今仙電機,プレミア市場,輸送用機器,False,,986.0,0.0,False,0.0
2026-08-20,7282,豊田合,プレミア市場,輸送用機器,False,,5339.0,0.0,False,0.0
2026-08-20,7283,愛三工,プレミア市場,輸送用機器,False,,2308.0,0.0,False,0.0
2026-08-20,7322,,プレミア市場,銀行業,False,,2025.0,0.0,False,0.0
2026-08-20,7362,Ｔ．Ｓ．Ｉ,メイン市場,サービス業,False,,856.0,0.0,False,0.0
2026-08-20,7369,メイホーＨＤ,ネクスト市場,サービス業,False,,350.0,0.0,False,0.0
2026-08-20,7380,十六ＦＧ,プレミア市場,銀行業,False,,2510.0,0.0,False,0.0
2026-08-20,7389,あいちＦＧ,プレミア市場,銀行業,False,,1809.0,0.0,False,0.0
