sec_code,name,market,sector,alert_section,is_supervised,price,price_date,last_quote,traded_days_20,avg_turnover_20,avg_turnover_20_m,days_since_trade,window_days,as_of
6465,ホシザキ,プレミア市場,機 械,,False,,,5616.0,0,0,0.0,,12,2026-09-04
8361,大垣銀,プレミア市場,銀行業,,False,,,8260.0,0,0,0.0,,12,2026-09-04
1444,ニッソウ,ネクスト市場,建設業,,False,,,2665.0,0,0,0.0,,12,2026-09-04
1438,岐阜造園,メイン市場,建設業,,False,,,2283.0,0,0,0.0,,12,2026-09-04
1812,鹿島,プレミア市場,建設業,,False,,,4938.0,0,0,0.0,,12,2026-09-04
9368,キムラユニティー,プレミア市場,倉庫・運輸関連業,,False,,,959.0,0,0,0.0,,12,2026-09-04
9330,揚羽,ネクスト市場,サービス業,,False,,,881.0,0,0,0.0,,12,2026-09-04
9913,日邦産業,メイン市場,卸売業,,False,,,3655.0,0,0,0.0,,12,2026-09-04
9900,サガミＨＤ,プレミア市場,小売業,,False,,,1128.0,0,0,0.0,,12,2026-09-04
9793,ダイセキ,プレミア市場,サービス業,,False,,,3710.0,0,0,0.0,,12,2026-09-04
1878,大東建,プレミア市場,不動産業,,False,,,3311.0,0,0,0.0,,12,2026-09-04
9533,東邦瓦斯,プレミア市場,電気・ガス業,,False,,,1246.5,0,0,0.0,,12,2026-09-04
9531,東瓦斯,プレミア市場,電気・ガス業,,False,,,6128.0,0,0,0.0,,12,2026-09-04
9502,中部電力,プレミア市場,電気・ガス業,,False,,,2926.0,0,0,0.0,,12,2026-09-04
9476,中央経済社ＨＤ,メイン市場,情報・通信業,,False,,,987.0,0,0,0.0,,12,2026-09-04
8368,百五銀,プレミア市場,銀行業,,False,,,2376.0,0,0,0.0,,12,2026-09-04
7266,今仙電機,プレミア市場,輸送用機器,,False,,,1004.0,0,0,0.0,,12,2026-09-04
7259,アイシン,プレミア市場,輸送用機器,,False,,,2249.5,0,0,0.0,,12,2026-09-04
7931,未来工業,プレミア市場,化 学,,False,,,3615.0,0,0,0.0,,12,2026-09-04
7928,旭化学,メイン市場,化 学,,False,,,617.0,0,0,0.0,,12,2026-09-04
7896,セブン工,メイン市場,その他製品,,False,,,506.0,0,0,0.0,,12,2026-09-04
7878,光・彩,メイン市場,その他製品,,False,,,1531.0,0,0,0.0,,12,2026-09-04
7875,竹田ｉＰ,メイン市場,その他製品,,False,,,808.0,0,0,0.0,,12,2026-09-04
7871,フクビ化工,メイン市場,化 学,,False,,,1011.0,0,0,0.0,,12,2026-09-04
7805,プリントネット,メイン市場,その他製品,,False,,,716.0,0,0,0.0,,12,2026-09-04
