sec_code,filer_name,current_assets,total_liabilities,total_assets,equity_value,equity_type,equity_ratio,doc_id,submit_date,doc_type,accounting_standard,consolidated,fiscal_period
7976,三菱鉛筆株式会社,91793000000,14703000000,91793000000,140432000000,NetAssets,1.5299,S100YTTG,2026-08-05,160,J-GAAP,個別,2026-12-31
6440,ＪＵＫＩ株式会社,89647000000,1208000000,23887000000,32687000000,NetAssets,1.3684,S100YTDY,2026-08-05,160,J-GAAP,個別,2026-12-31
4642,オリジナル設計株式会社,7263264000,1685728000,7263264000,7898265000,NetAssets,1.0874,S100YU67,2026-08-05,160,J-GAAP,個別,2026-12-31
5563,新日本電工株式会社,44419000000,13981000000,44419000000,71025000000,NetAssets,1.599,S100YUET,2026-08-05,160,J-GAAP,個別,2026-12-31
2268,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,17032852000,2585070000,17032852000,14981425000,NetAssets,0.8796,S100YTQ0,2026-08-05,160,J-GAAP,個別,2026-06-30
519A,株式会社ベーシック,912307000,80122000,222376000,721705000,NetAssets,3.2454,S100YUGI,2026-08-05,160,J-GAAP,連結,2026-12-31
5851,リョービ株式会社,165392000000,95830000000,165392000000,189550000000,NetAssets,1.1461,S100YU17,2026-08-05,160,J-GAAP,個別,2026-12-31
7036,株式会社イーエムネットジャパン,1830223000,1382697000,1830223000,776495000,NetAssets,0.4243,S100YUBN,2026-08-05,160,J-GAAP,連結,2026-12-31
7177,ＧＭＯフィナンシャルホールディングス株式会社,1372631000000,1272470000000,1372631000000,53017000000,NetAssets,0.0386,S100YU6H,2026-08-05,160,J-GAAP,個別,2026-12-31
4477,ＢＡＳＥ株式会社,52324000000,209000000,52324000000,15119000000,NetAssets,0.2889,S100YUJ8,2026-08-05,160,J-GAAP,個別,2026-12-31
3003,ヒューリック株式会社,686528000000,490711000000,686528000000,939180000000,NetAssets,1.368,S100YTS1,2026-08-04,160,J-GAAP,個別,2026-12-31
4107,伊勢化学工業株式会社,32614000000,9310000000,32614000000,40070000000,NetAssets,1.2286,S100YT8X,2026-08-04,160,J-GAAP,個別,2026-12-31
8914,エリアリンク株式会社,25714771000,9157399000,25714771000,29228662000,NetAssets,1.1366,S100YTSS,2026-08-04,160,J-GAAP,連結,2026-12-31
4189,ＫＨネオケム株式会社,67253000000,1999000000,32877000000,72630000000,NetAssets,2.2091,S100YTOZ,2026-08-04,160,J-GAAP,個別,2026-12-31
7172,株式会社ジャパンインベストメントアドバイザー,270049000000,19849000000,270049000000,80465000000,NetAssets,0.298,S100YTPU,2026-08-04,160,J-GAAP,個別,2026-12-31
3964,株式会社オークネット,40642763000,21797554000,1967398000,26622589000,NetAssets,13.5319,S100YTVF,2026-08-04,160,J-GAAP,個別,2026-12-31
6653,株式会社正興電機製作所,21612000000,1529000000,14942000000,18089000000,NetAssets,1.2106,S100YTYS,2026-08-04,160,J-GAAP,個別,2026-12-31
6395,株式会社タダノ,328844000000,158032000000,62002000000,206189000000,NetAssets,3.3255,S100YTG9,2026-08-04,160,J-GAAP,個別,2026-12-31
7989,立川ブラインド工業株式会社,41228434000,8669757000,7603640000,56353007000,NetAssets,7.4113,S100YTWR,2026-08-04,160,J-GAAP,個別,2026-12-31
6099,株式会社エラン,18535104000,11054363000,18535104000,14862574000,NetAssets,0.8019,S100YTOK,2026-08-03,160,J-GAAP,個別,2026-12-31
4689,ＬＩＮＥヤフー株式会社,626751000000,41332000000,626751000000,2200814000000,NetAssets,3.5115,S100YBXD,2026-06-18,120,J-GAAP,連結,2026-03-31
9768,いであ株式会社,16990753000,4287749000,16990753000,30711979000,NetAssets,1.8076,S100YTIB,2026-08-03,160,J-GAAP,個別,2026-12-31
7422,東邦レマック株式会社,4364732000,1394932000,4364732000,4521695000,NetAssets,1.036,S100YTEE,2026-07-31,160,J-GAAP,連結,2026-12-20
6866,日置電機株式会社,30137389000,6957999000,4202061000,43956278000,NetAssets,10.4606,S100YTCZ,2026-07-31,160,J-GAAP,個別,2026-12-31
